step,price,action,position,balance,portfolio_value
1763,0.14389,7,17018.163310070682,13238.297900424484,15687.041419110556
1772,0.14538,7,11912.714317049478,13980.528075029908,15712.39848244256
1778,0.14476,7,8338.900021934634,14497.873432390732,15705.01259956599
1791,0.13836,7,5837.230015354244,14844.004494501194,15651.643639425607
1796,0.13986,7,4086.0610107479706,15088.922991485428,15660.399484448639
1803,0.1344,3,37766.692688170806,10562.2460940398,15638.089591329956
1804,0.13509,5,33990.023419353725,11072.4363455643,15664.148609284795
1805,0.13354,7,23793.01639354761,12434.144663790448,15611.464072984796
1815,0.14344,4,58467.150983035746,7460.486798274269,15847.014935280917
1816,0.14565,4,78955.95784407048,4476.292078964561,15976.227338953428
1821,0.16475,3,87107.02081031854,3133.404455275193,17484.286133775175
1822,0.16662,5,78396.3187292867,4584.781636016721,17647.176262690467
1844,0.16136,7,54877.42311050069,8379.79063306403,17234.81162617442
1863,0.16773,1,59873.42301097409,7541.811569757628,17584.38081138831
1870,0.20226,3,71059.73503968609,5279.26809883034,19651.810107957248
1871,0.19168,4,82076.57163991635,3167.560859298204,18899.998111237368
1872,0.19492,4,88576.79913693709,1900.5365155789223,19165.9262033507
1873,0.19646,7,62003.75939585596,7121.0759031117195,19302.334474021583
1898,0.29309,4,71722.37948267123,4272.645541867032,25293.757744443144
1899,0.28159,4,77791.69379335987,2563.5873251202192,24468.950380392424
1900,0.29309,5,70012.52441402388,4843.584078509804,25363.554859016065
1909,0.37985,3,73837.91660450154,3390.508854956863,31437.84147717678
1910,0.37116,7,51686.54162315108,11612.2131930349,30796.189981883654
1922,0.37104,7,36180.57913620576,17365.545514191093,30789.987596888877
1952,0.38329,3,49772.54254317522,12155.881859933765,31233.199691307396
1953,0.38991,7,34840.779780222656,17977.9254788366,31562.693922943217
1954,0.38921,7,24388.54584615586,22046.03944831474,31538.305377097062
1959,0.38511,7,17071.982092309103,24863.721315558665,31438.312339127824
1964,0.39383,7,11950.387464616371,26880.758927782892,31587.18002297276
1970,0.43335,7,8365.27122523146,28434.369050120342,32059.459335574396
1973,0.45483,3,27120.214204006174,19904.05833508424,32239.145361492367
1989,0.3979,7,18984.14994280432,23141.398304616458,30695.191566858295
1990,0.37705,7,13288.904959963023,25288.790425396768,30299.372040550825
1995,0.39757,7,9302.233471974116,26873.771408876517,30572.060370329265
2000,0.40913,7,6511.563430381881,28015.51824299315,30679.594189265288
2012,0.42237,3,26410.361813074647,19610.862770095206,30765.807289083546
2013,0.4314,4,44593.82288873084,11766.517662057122,31004.292856255608
2027,0.43351,1,47308.06654217762,10589.86589585141,31098.38582255083
2029,0.42457,3,54790.836800922756,7412.906127095986,30675.45170766376
2036,0.41559,7,38353.58576064593,14244.063286924633,30183.429993191476
2044,0.44601,3,47934.57942912285,9970.844300847242,31350.146072030326
2045,0.43901,4,57019.424239808024,5982.506580508345,31014.604016026467
2046,0.43232,5,51317.481815827225,8447.570329243725,30633.14406786215
2071,0.41403,7,35922.23727107906,14821.663428105807,29694.547325450672
2073,0.40913,4,50413.14571397575,8892.998056863484,29518.528362822384
2074,0.40949,4,59100.047036951626,5335.79883411809,29536.677095279414
2090,0.40775,7,41370.03292586614,12565.212087913196,29433.843013435115
2103,0.39597,7,28959.023048106297,17479.59966920976,28946.504025568414
2104,0.40054,7,20271.31613367441,20959.37379671631,29078.846760898257
2115,0.39781,7,14189.921293572086,23378.613478057414,29023.506067853326
2120,0.38981,7,9932.94490550046,25038.025443891613,28909.986697504748
2127,0.36298,3,30626.668067017577,17526.61781072413,28643.48578569017
2128,0.36622,4,49769.934749038366,10515.970686434477,28742.716190227307
2129,0.35193,7,34838.954324326856,15770.630627303199,28031.50382266355
2133,0.31685,4,54748.22448661589,9462.37837638192,26809.353304966164
2134,0.26639,7,38323.75714063112,13837.6922326788,24046.757897371524
2139,0.3463,7,26826.629998441786,17819.147362018968,27109.20933047936
2144,0.31796,7,18778.64099890925,20378.085944310333,26348.942636323518
2158,0.3217,7,13145.048699236475,22190.412587115065,26419.174753659438
2167,0.33433,7,9201.534089465533,23508.847826599784,26585.196718730796
2173,0.31274,7,6441.0738626258735,24372.15415794162,26386.535597739236
2174,0.31539,7,4508.751703838112,24981.58924360169,26403.604443475193
